"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"132976",195094,"col","Landana",12.13,-5.23,"Landana Section (layers 1-18)",NA,"",1,"Selandian","",61.6,59.2,66354,"gp_mid",9.67,-19.5,"701",60.4,"selandian",13509,4.954,-13.9326,18
"133947",196766,"col","Kerteminde Marl",10.35,55.56,"Gundstrup gravel pit",NA,"",3,"Selandian","",61.6,59.2,67001,"gp_mid",17.29,44.78,"302",60.4,"selandian",35177,10.0375,49.4083,18
"137784",203526,"col","Landana",12.13,-5.22,"PaleoAngola locality Landana 1",NA,"",1,"Selandian","",61.6,59.2,63791,"gp_mid",9.68,-19.49,"701",60.4,"selandian",13508,4.954,-13.9326,18
"137785",203527,"col","Landana",12.13,-5.22,"PaleoAngola locality Landana 1 (1-2 m higher)",NA,"",1,"Selandian","",61.6,59.2,63791,"gp_mid",9.68,-19.49,"701",60.4,"selandian",13508,4.954,-13.9326,18
"138891",205398,"col","",-118.55,34.07,"Stanford locality 2691, ridge east of Santa Ynez Canyon",NA,"",16,"Selandian","",61.6,59.2,70473,"gp_mid",-88.4,42.19,"105",60.4,"selandian",36450,-97.1374,37.9619,18
"138911",205427,"col","Tuscahoma",-87.42,31.8,"BL",NA,"Bells Landing, Alabama River",51,"Selandian","",61.6,59.2,28119,"gp_mid",-59.1,35.91,"109",60.4,"selandian",36462,-65.3472,34.6961,18
"138936",205452,"col","Porters Creek",-87.43,32.03,"Dixon Cr",NA,"Alabama River (Dixons Creek)",41,"Selandian","",61.6,59.2,28119,"gp_mid",-59.02,36.13,"109",60.4,"selandian",36476,-65.3472,34.6961,18
"138956",205472,"col","Tuscahoma",-87.48,31.81,"GL",NA,"Greggs Landing\r\n\r\n",36,"Selandian","",61.6,59.2,28119,"gp_mid",-59.16,35.94,"109",60.4,"selandian",36490,-65.3472,34.6961,18
"138983",205499,"col","Poerters Creek",-87.42,32.03,"ML",NA,"Matthews landing\r\n\r\n\r\n",61,"Selandian","",61.6,59.2,28119,"gp_mid",-59.01,36.13,"109",60.4,"selandian",415,-65.3472,34.6961,18
"139009",205525,"col","Porters Creek",-87.43,32.03,"REC329",NA,"Alabama River, Dixons Creek\r\n\r\n\r\n\r\n\r\n\r\n",1,"Selandian","",61.6,59.2,28119,"gp_mid",-59.02,36.13,"109",60.4,"selandian",36476,-65.3472,34.6961,18
"139029",205545,"col","Tuscahoma",-87.48,31.94,"YB",NA,"Yellow Bluff\r\n\r\n\r\n",3,"Selandian","",61.6,59.2,28119,"gp_mid",-59.11,36.06,"109",60.4,"selandian",36534,-65.3472,34.6961,18
"142754",211012,"col","Lellinge Greensand",12.6,55.68,"Larsens Plads",NA,"",1,"Selandian","",61.6,59.2,72881,"gp_mid",19.09,44.84,"302",60.4,"selandian",37464,10.0375,49.4083,18
"142755",211014,"col","Lellinge Greensand",12.57,55.66,"Copenhagen South Harbour",NA,"",1,"Selandian","",61.6,59.2,72881,"gp_mid",19.06,44.82,"302",60.4,"selandian",37465,10.0375,49.4083,18
